Date,Purchases  (Cost of Goods),Insurance,Wages,Direct Labor,Car/Truck Expense,Professional Fees,Rent,Supplies,Marketing Expense,Conferences and Seminars,Telephone,Sales Commission (outside reps),Travel,Maintenance/Janitorial,Contributions,Other Expense,Promotional Expense,Advertising Expense,Dues and Subscriptions,Freight Costs,Packaging Materials,Meals and Entertainment,Office Equipment,Postage and Delivery,Depreciation Expense,Repairs,Business License & Fees,Utilities,MTD Revenue Actuals,MTD Actuals 
,,16689.08,13174.53,,4593.87,4673.24,,,,,,,,,,,,,,,,,,,,390,,,,39520.72
Jan,9352.34,817.84,725.88,810,832.79,352.08,583.75,652.36,,1000,404.38,,55.23,200,,100.13,355,500,850,134,,100.72,25,78,76.92,,,65.08,22056,18071.5
Feb,10674.82,1442.84,1293.97,1620,736,532,583.75,551.07,,,320.14,,,200,,180.6,156,,,197,,201.53,475,132,76.92,,710.23,55.08,21003,20138.95
Mar,13033.24,1442.84,1263.95,1620,683,135.6,583.75,1083.36,,,313.13,,,200,,162.03,,,,164,,51,25,78,76.92,,,48.08,18976,20963.9
Apr,12653.43,1442.84,1098.04,1620,2357.77,397,583.75,449.88,285,,388.74,,140,357,,164.54,,500,,164,,75.41,25,78,76.92,,,25.12,19834,22882.44
May,13198.06,1442.84,904.22,1620,704.89,1683,583.75,761.37,,350,304.7,,191,200,,208.87,,,,164,1000,171.56,25,78,76.92,,,22.1,19432,23690.28
Jun,14333.45,1442.84,932.13,1620,683,123.08,583.75,147.14,,,323.1,,2500,200,,282.54,,,,148,,,375,78,76.92,,,22.07,26709,23871.02
Jul,15353.24,1442.84,1011.34,1620,898.7,379.08,583.75,200.76,,,388.3,3990.8,75,327.5,,269.9,675,500,,152,,157.16,25,78,76.92,390,,28.47,34089,28623.76
Aug,13681.84,1442.84,878.86,1620,730.23,123.08,583.75,536.62,4500,3350,313.19,,,200,,208.9,835,,1050,148,325,69.77,25,132,76.92,,,29.47,34230,30860.47
Sep,14019.65,1442.84,932.23,1620,683,323.08,583.75,444.17,,,303.56,,191,200,,192.9,,,,181,,,25,78,76.92,,,30.54,23012,21327.64
Oct,14314.53,1442.84,932.13,1620,1471.89,379.08,583.75,314.02,,,333.68,,300,357.45,,196.81,,500,,196,427.5,131.1,25,78,76.92,,,32.9,20789,23713.6
Nov,18344.97,1442.84,932.13,1620,885.6,123.08,583.75,540.57,197,,318.71,,,200,,153.77,,,,,,155.1,25,132,76.92,,,67.08,24568,25798.52
Dec,31071.18,1442.84,2269.65,5195,683,123.08,583.75,518.04,,,291.81,,,200,2500,175.46,,,,162,,263,25,78,76.92,,,75.6,39345,45734.33
